,declara,fin_declara,dato,opdec,numerico,cadena,",",id,[,num,],comienza,termina,funciones,fin_funciones,;,funcion,(,),fin_funcion,mientras,fin_mientras,si,entonces,otro_caso,fin_si,repite,hasta,lee,asig,escribe,escribe_ret,o,y,no,=,dif,mai,mei,>,<,+,-,*,/,div,mod,abs,cad,fin,PROGP,PROG,SDAT,LDATOS,DEC,TIPO,LV,VAR,PPAL,SFUN,LFUN,BLQ,FUN,PRM,INST,W,IF,REP,LEE,VARL,ASIG,VASIG,ESC,K,L,N,E,T,F,NFUN,ARGS
77, ,r6,r6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
78, , , ,r10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
79, , , , , , , , , , ,s109, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
80, , , , , , , , , , , , , , , , , ,s110, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
81, , , , , , , ,s64, ,s65, , , , , , , ,s62, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s63,s66, , , , , , , , , , , , , , , , , , , , , , , , , ,g111,g58,g59,g60,g61,g67, 
82, , , , , , , ,s64, ,s65, , , , , , , ,s62, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s63,s66, , , , , , , , , , , , , , , , , , , , , , , , , ,g112,g58,g59,g60,g61,g67, 
83, , , , , , , ,s64, ,s65, , , , , , , ,s62, , , , , , , , , , , , , , , , ,s56, , , , , , , , , , , , ,s63,s66, , , , , , , , , , , , , , , , , , , , , , , , ,g113,g57,g58,g59,g60,g61,g67, 
84, , , , , , , ,s64, ,s65, , , , , , , ,s62, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s63,s66, , , , , , , , , , , , , , , , , , , , , , , , , , , ,g114,g60,g61,g67, 
85, , , , , , , ,s64, ,s65, , , , , , , ,s62, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s63,s66, , , , , , , , , , , , , , , , , , , , , , , , , , , ,g115,g60,g61,g67, 
86, , , , , , , ,s64, ,s65, , , , , , , ,s62, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s63,s66, , , , , , , , , , , , , , , , , , , , , , , , , , , ,g116,g60,g61,g67, 
87, , , , , , , ,s64, ,s65, , , , , , , ,s62, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s63,s66, , , , , , , , , , , , , , , , , , , , , , , , , , , ,g117,g60,g61,g67, 
